measure time,temperature (ºC),air humidity (%),light (lux),water (%),ec (µS),battery (%)
18:27:4 3/4/2024,32.804195,1.0,36860,24.820838,37.148238,84.96395
19:27:4 3/4/2024,33.316072,1.0,38720,24.891791,37.398714,84.96395
20:27:4 3/4/2024,33.113733,1.0,39290,24.944987,37.705137,84.96395
21:27:4 3/4/2024,33.062653,1.0,39680,25.033608,38.026236,84.96395
22:27:4 3/4/2024,32.051919,1.0,39880,24.944987,38.334732,84.96395
23:27:4 3/4/2024,29.89027,1.5,27990,24.838579,38.562347,84.96395
0:27:4 4/4/2024,28.765059,4.4,9140,24.66109,38.682849,84.96395
1:27:4 4/4/2024,26.849838,10.8,3320,24.483431,38.676661,84.96395
2:27:4 4/4/2024,28.1,16.0,0,24.465656,38.571603,84.96395
3:27:4 4/4/2024,26.4,18.9,0,24.074236,38.393045,84.96395
4:27:4 4/4/2024,25.5,21.0,0,24.376759,38.187809,85.491094
5:27:4 4/4/2024,24.3,24.1,0,23.824813,37.977593,85.491094
6:27:4 4/4/2024,23.7,26.2,0,24.038619,37.7776,85.491094
7:27:4 4/4/2024,22.8,27.7,0,24.038619,37.608735,85.491094
8:27:4 4/4/2024,22.5,29.7,0,24.234446,37.455604,85.491094
9:27:4 4/4/2024,22.7,31.1,0,23.842637,37.31205,85.491094
10:27:4 4/4/2024,22.7,30.8,0,23.842637,37.17202,85.491094
11:27:4 4/4/2024,21.3,32.3,0,24.092042,37.041405,85.491094
12:27:4 4/4/2024,21.7,32.1,0,24.092042,36.931924,85.491094
13:27:4 4/4/2024,21.4,32.8,70,23.842637,36.825713,85.491094
14:27:4 4/4/2024,24.051739,26.7,6370,24.34119,36.728622,84.96395
15:27:4 4/4/2024,26.683702,15.4,14090,24.34119,36.622995,84.96395
16:27:4 4/4/2024,30.244691,4.9,32760,24.092042,36.573222,84.96395
17:27:4 4/4/2024,32.882273,1.0,35530,23.896101,36.570296,84.432525
18:27:4 4/4/2024,32.908195,1.0,34830,23.91392,36.666969,84.432525
19:27:4 4/4/2024,32.620167,1.0,37960,23.96737,36.866981,84.432525
20:27:4 4/4/2024,33.316072,1.0,39290,24.234446,37.09775,84.432525
21:27:4 4/4/2024,32.699356,1.0,39490,24.554514,37.365818,84.432525
22:27:4 4/4/2024,30.985984,1.0,28820,24.34119,37.653892,84.432525
